text_id,category,source_text,target_text,target_lang,quality_score,fluency_score,adequacy_score,contains_worldview_term,text_length,quality_grade,category_encoded,target_lang_encoded,quality_encoded
TXT001,UI,전투 시작,Start Battle,en,0.932,0.776,0.958,0,5,excellent,0,0,1
TXT001,UI,전투 시작,バトル開始,ja,0.909,0.638,0.993,0,5,excellent,0,1,1
TXT001,UI,전투 시작,开始战斗,zh,0.928,0.914,0.738,0,5,excellent,0,2,1
TXT002,UI,스테이지 클리어,Stage Clear,en,0.835,0.748,0.978,0,8,good,0,0,2
TXT002,UI,스테이지 클리어,ステージクリア,ja,0.893,0.929,0.833,0,8,good,0,1,2
TXT002,UI,스테이지 클리어,关卡通关,zh,0.768,0.822,0.719,0,8,acceptable,0,2,0
TXT003,UI,보물을 획득했습니다!,Treasure obtained!,en,0.948,0.853,0.927,0,11,excellent,0,0,1
TXT003,UI,보물을 획득했습니다!,宝物を獲得しました！,ja,0.806,0.988,0.968,0,11,good,0,1,2
TXT003,UI,보물을 획득했습니다!,获得了宝物！,zh,0.934,0.678,0.84,0,11,excellent,0,2,1
TXT004,story,오븐에서 탈출해야 해!,I must escape from the oven!,en,0.713,0.662,0.905,1,12,acceptable,7,0,0
TXT004,story,오븐에서 탈출해야 해!,オーブンから脱出しなきゃ！,ja,0.923,0.987,0.798,1,12,excellent,7,1,1
TXT004,story,오븐에서 탈출해야 해!,必须从烤箱逃出去！,zh,0.811,0.788,0.757,1,12,good,7,2,2
TXT005,story,"친구들, 같이 가자!","Friends, let's go together!",en,0.739,0.79,0.768,0,11,acceptable,7,0,0
TXT005,story,"친구들, 같이 가자!",みんな、一緒に行こう！,ja,0.901,0.775,0.95,0,11,excellent,7,1,1
TXT005,story,"친구들, 같이 가자!",朋友们，一起走吧！,zh,0.91,0.725,0.95,0,11,excellent,7,2,1
TXT006,skill,나의 힘을 받아라!,Feel my power!,en,0.941,0.755,0.786,0,10,excellent,6,0,1
TXT006,skill,나의 힘을 받아라!,私の力を受けろ！,ja,0.905,0.656,0.76,0,10,excellent,6,1,1
TXT006,skill,나의 힘을 받아라!,接受我的力量吧！,zh,0.702,0.915,0.899,0,10,acceptable,6,2,0
TXT007,skill,모두를 지켜줄게!,I'll protect everyone!,en,0.912,0.912,0.838,0,9,excellent,6,0,1
TXT007,skill,모두를 지켜줄게!,みんなを守るよ！,ja,0.871,0.656,0.734,0,9,good,6,1,2
TXT007,skill,모두를 지켜줄게!,我会保护大家的！,zh,0.901,0.788,0.87,0,9,excellent,6,2,1
TXT008,dialog,이 맛은... 마녀의 저주!,This taste... the witch's curse!,en,0.929,0.854,0.866,1,15,excellent,2,0,1
TXT008,dialog,이 맛은... 마녀의 저주!,この味は…魔女の呪い！,ja,0.868,0.722,0.709,1,15,good,2,1,2
TXT008,dialog,이 맛은... 마녀의 저주!,这个味道...是魔女的诅咒！,zh,0.831,0.686,0.823,1,15,good,2,2,2
TXT009,dialog,쿠키들의 왕국을 세우자!,Let's build a kingdom for cookies!,en,0.956,0.694,0.717,0,13,excellent,2,0,1
TXT009,dialog,쿠키들의 왕국을 세우자!,クッキーたちの王国を作ろう！,ja,0.784,0.717,0.899,0,13,acceptable,2,1,0
TXT009,dialog,쿠키들의 왕국을 세우자!,建立饼干们的王国吧！,zh,0.867,0.914,0.899,0,13,good,2,2,2
TXT010,item,체력 회복 젤리,HP Recovery Jelly,en,0.822,0.926,0.75,1,8,good,3,0,2
TXT010,item,체력 회복 젤리,体力回復ゼリー,ja,0.707,0.636,0.917,1,8,acceptable,3,1,0
TXT010,item,체력 회복 젤리,体力恢复果冻,zh,0.839,0.665,0.85,1,8,good,3,2,2
SYN0000,notice,[합성 텍스트 0],[Synthetic 0],en,0.817,0.79,0.816,0,19,good,4,0,2
SYN0000,notice,[합성 텍스트 0],[Synthetic 0],ja,0.742,0.631,0.734,0,19,acceptable,4,1,0
SYN0000,notice,[합성 텍스트 0],[Synthetic 0],zh,0.618,0.7,0.882,0,19,needs_review,4,2,3
SYN0001,dialog,[합성 텍스트 1],[Synthetic 1],en,0.88,0.764,0.909,0,71,good,2,0,2
SYN0001,dialog,[합성 텍스트 1],[Synthetic 1],ja,0.657,0.779,0.774,0,71,needs_review,2,1,3
SYN0001,dialog,[합성 텍스트 1],[Synthetic 1],zh,0.716,0.884,0.712,0,71,acceptable,2,2,0
SYN0002,quest,[합성 텍스트 2],[Synthetic 2],en,0.691,0.655,0.856,0,34,needs_review,5,0,3
SYN0002,quest,[합성 텍스트 2],[Synthetic 2],ja,0.697,0.823,0.852,0,34,needs_review,5,1,3
SYN0002,quest,[합성 텍스트 2],[Synthetic 2],zh,0.91,0.776,0.768,0,34,excellent,5,2,1
SYN0003,achievement,[합성 텍스트 3],[Synthetic 3],en,0.886,0.884,0.879,0,44,good,1,0,2
SYN0003,achievement,[합성 텍스트 3],[Synthetic 3],ja,0.896,0.681,0.799,0,44,good,1,1,2
SYN0003,achievement,[합성 텍스트 3],[Synthetic 3],zh,0.657,0.761,0.74,0,44,needs_review,1,2,3
SYN0004,item,[합성 텍스트 4],[Synthetic 4],en,0.653,0.698,0.875,0,61,needs_review,3,0,3
SYN0004,item,[합성 텍스트 4],[Synthetic 4],ja,0.884,1.0,1.0,0,61,good,3,1,2
SYN0004,item,[합성 텍스트 4],[Synthetic 4],zh,0.841,0.701,0.679,0,61,good,3,2,2
SYN0005,achievement,[합성 텍스트 5],[Synthetic 5],en,0.708,0.739,0.839,0,30,acceptable,1,0,0
SYN0005,achievement,[합성 텍스트 5],[Synthetic 5],ja,0.857,0.816,0.837,0,30,good,1,1,2
